session_test_id,vp_id,age,gender,trial_id,choice_reference,choice_non_reference,choice_answer,choice_time,choice_comment
abx_constant_phase_shift,1,21,female,square_b_2_00,reference,C1,correct,25991,
abx_constant_phase_shift,1,21,female,castanets_2_00,reference,C1,correct,44955,
abx_constant_phase_shift,1,21,female,square_a_2_04,reference,C1,correct,15748,
abx_constant_phase_shift,1,21,female,square_a_2_01,reference,C1,correct,18513,
abx_constant_phase_shift,1,21,female,pnoise_2_04,reference,C1,incorrect,50619,
abx_constant_phase_shift,1,21,female,hotelcalifornia_2_05,reference,C1,incorrect,39147,
abx_constant_phase_shift,1,21,female,castanets_2_01,reference,C1,incorrect,53849,
abx_constant_phase_shift,1,21,female,castanets_2_05,reference,C1,incorrect,20303,
abx_constant_phase_shift,1,21,female,square_b_2_05,reference,C1,correct,7797,
abx_constant_phase_shift,1,21,female,pnoise_2_00,reference,C1,correct,30100,
abx_constant_phase_shift,1,21,female,hotelcalifornia_2_00,reference,C1,incorrect,51038,
abx_constant_phase_shift,1,21,female,square_b_2_04,reference,C1,correct,8169,
abx_constant_phase_shift,1,21,female,hotelcalifornia_2_01,reference,C1,incorrect,37292,
abx_constant_phase_shift,1,21,female,square_b_2_01,reference,C1,correct,8000,
abx_constant_phase_shift,1,21,female,hotelcalifornia_2_02,reference,C1,correct,50474,
abx_constant_phase_shift,1,21,female,square_b_2_03,reference,C1,correct,8890,
abx_constant_phase_shift,1,21,female,square_a_2_05,reference,C1,correct,16405,
abx_constant_phase_shift,1,21,female,hotelcalifornia_2_03,reference,C1,incorrect,33724,
abx_constant_phase_shift,1,21,female,pnoise_2_01,reference,C1,correct,29751,
abx_constant_phase_shift,1,21,female,pnoise_2_05,reference,C1,incorrect,24160,
abx_constant_phase_shift,1,21,female,castanets_2_02,reference,C1,correct,40069,
abx_constant_phase_shift,1,21,female,castanets_2_03,reference,C1,correct,32847,
abx_constant_phase_shift,1,21,female,hotelcalifornia_2_04,reference,C1,incorrect,26078,
abx_constant_phase_shift,1,21,female,square_a_2_02,reference,C1,correct,8091,
abx_constant_phase_shift,1,21,female,square_a_2_03,reference,C1,correct,7776,
abx_constant_phase_shift,1,21,female,pnoise_2_02,reference,C1,incorrect,23237,
abx_constant_phase_shift,1,21,female,square_b_2_02,reference,C1,correct,16224,
abx_constant_phase_shift,1,21,female,square_a_2_00,reference,C1,correct,23312,
abx_constant_phase_shift,1,21,female,pnoise_2_03,reference,C1,incorrect,53790,
abx_constant_phase_shift,1,21,female,castanets_2_04,reference,C1,incorrect,40451,
abx_constant_phase_shift,1,21,female,square_a_3_05,reference,C1,correct,16294,
abx_constant_phase_shift,1,21,female,castanets_3_04,reference,C1,incorrect,27115,
abx_constant_phase_shift,1,21,female,hotelcalifornia_3_02,reference,C1,correct,50290,
abx_constant_phase_shift,1,21,female,square_a_3_00,reference,C1,correct,25827,
